Protein IDs	Protein Names	Gene Names	Protein Descriptions	Uniprot IDs	RefSeq protein IDs	Refseq mRNA ID	ENSEMBL ID	MGI ID	Protein length [amino acids]	Protein molecular weight [kDa]	Protein copy number experiment [molecules/cell]	Protein copy number replicate [molecules/cell]	Protein copy number average [molecules/cell]	mRNA copy number experiment [molecules/cell]	mRNA copy number replicate [molecules/cell]	mRNA copy number average [molecules/cell]	Protein half-life experiment [h]	Protein half-life replicate [h]	Protein half-life average [h]	mRNA half-life experiment [h]	mRNA half-life replicate [h]	mRNA half-life average [h]	transcription rate (vsr) experiment [molecules/(cell*h)]	transcription rate (vsr) replicate [molecules/(cell*h)]	transcription rate (vsr) average [molecules/(cell*h)]	translation rate constant (ksp) experiment [molecules/(mRNA*h)]	translation rate constant (ksp) replicate [molecules/(mRNA*h)]	translation rate constant (ksp) average [molecules/(mRNA*h)]
IPI00458854.2;IPI00471258.2	Squamous cell carcinoma antigen recognized by T-cells 3;Tumor-rejection antigen SART3	Sart3;Kiaa0156	Isoform 1 of Squamous cell carcinoma antigen recognized by T-cells 3	Q9JLI8-1;Q9JLI8	NP_058622	NM_016926	ENSMUST00000019118	MGI:1858230	962	109.62	92219.9	49467.62	67541.83	23.99	22.74	23.36	97.5	106.16	101.74	7.69	9.04	8.34	2.68	2.17	2.41	123.14	61.54	87.05
IPI00608040.1;IPI00224067.2;IPI00654313.1	Hepatoma-derived growth factor-related protein 3;Putative uncharacterized protein	Hdgfrp3	Isoform 2 of Hepatoma-derived growth factor-related protein 3;Isoform 1 of Hepatoma-derived growth factor-related protein 3;Putative uncharacterized protein	Q9JMG7-2;Q9JMG7;Q9JMG7-1;Q8C9E2;Q3TR90	NP_038914	NM_013886	ENSMUST00000107305;ENSMUST00000107306	MGI:1352760;MGI:1352760;MGI:1352760	205	22.82	92104.23	84012.55	87965.4	9.61	10.68	10.13	108.84	NA	108.84	10.55	17.65	13.64	0.84	NA	0.84	300.7	NA	300.7
IPI00349443.5;IPI00651819.3	"Testis expressed gene 264;Testis expressed gene 264, isoform CRA_a;Tex264 protein;Putative uncharacterized protein"	Tex264;mCG_19534	testis expressed gene 264;Putative uncharacterized protein	Q99LS5;Q9D7D9;Q3TXY2	NP_001075123;NP_035703	NM_001081654	ENSMUST00000046735	MGI:1096570;MGI:1096570	309	33.59	91858.1	9671.34	29805.89	25.51	35.38	30.04	14.92	13.56	14.22	10.45	10.13	10.29	2.26	3.09	2.64	256.1	19.81	71.23
IPI00153842.1;IPI00331517.3;IPI00480243.1;IPI00851051.1	"Putative uncharacterized protein;HIG1 domain family, member 1A, isoform CRA_a;HIG1 domain family member 1A;Hypoxia-inducible gene 1 protein"	Higd1a;Hig1;mCG_50003	"HIG1 domain family, member 1A, isoform CRA_a;HIG1 domain family member 1A;HIG1 domain family, member 1A-like"	Q8R472;Q9JLR9;Q1XG81	NP_062788;NP_001106138;XP_001474672	NM_019814	ENSMUST00000060251	MGI:1930666;MGI:1930666	99	10.96	91701.17	133786.72	110762.8	NA	NA	NA	22.27	20.61	21.43	10.5	10.02	10.26	NA	NA	NA	NA	NA	NA
IPI00133350.1;IPI00894692.1;IPI00894954.1	Uncharacterized protein C6orf125 homolog		Uncharacterized protein C6orf125 homolog;15 kDa protein;12 kDa protein	Q9CQY6	NP_080339	NM_026063	ENSMUST00000025045	MGI:1914517	136	16.32	91616.44	84090.04	87772.6	103	72.54	86.44	31.49	34.51	32.97	15.98	17.67	16.8	6.81	4.29	5.4	41.79	48.55	45.04
IPI00132659.1;IPI00848594.1;IPI00319273.1	RWD domain-containing protein 1;IH1;DRG family-regulatory protein 2	Rwdd1;Dfrp2	RWD domain-containing protein 1;similar to small androgen receptor-interacting protein	Q9CQK7	NP_079890;XP_001472596	NM_025614	ENSMUST00000019917	MGI:1913771	243	27.79	91569.95	177927.05	127643.14	29.21	19.14	23.64	107.97	81.31	93.7	9.74	13.89	11.63	2.72	1.33	1.9	98.44	282.17	166.67
IPI00118196.1;IPI00894830.1	"28S ribosomal protein S5, mitochondrial;S5mt;MRP-S5"	Mrps5	"28S ribosomal protein S5, mitochondrial"	Q99N87;A2AHS8;Q3U2U4	NP_084239	NM_029963	ENSMUST00000028852	MGI:1924971	432	48.21	91265.63	39580.54	60102.77	14.89	19.04	16.84	115.78	163.72	137.68	8.82	16.32	12	1.5	1.18	1.33	189.68	54.27	101.46
IPI00457815.3	U4/U6.U5 tri-snRNP-associated protein 2;Inactive ubiquitin-specific peptidase 39	Usp39	U4/U6.U5 tri-snRNP-associated protein 2	Q3TIX9	NP_613058	NM_138592	ENSMUST00000070345	MGI:107622	564	65.15	91206.72	57112.03	72173.41	34.8	24.13	28.98	59.33	69.01	63.99	10.28	9.7	9.98	3.12	2.18	2.61	96.02	75.23	84.99
IPI00403031.5;IPI00276822.5	Pleckstrin homology domain-containing family O member 2;Pleckstrin homology domain-containing family Q member 1	Plekho2;Plekhq1	Pleckstrin homology domain-containing family O member 2;46 kDa protein	Q8K124	NP_694759	NM_153119	ENSMUST00000068944	MGI:2143132	495	53.87	91018.46	48811.77	66654.12	32.24	41.82	36.72	43.89	41.93	42.9	6.25	6.34	6.29	4.26	5.33	4.77	114.49	44.43	71.32
IPI00417140.1;IPI00262117.1;IPI00625377.2;IPI00858263.1;IPI00831336.1	Protein arginine N-methyltransferase 3;Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 3	Prmt3;Hrmt1l3	Isoform 1 of Protein arginine N-methyltransferase 3;Isoform 2 of Protein arginine N-methyltransferase 3	Q922H1-1;Q922H1;Q922H1-2;Q3U2K1;Q8C1M0	NP_598501	NM_133740	ENSMUST00000032715;ENSMUST00000085271	MGI:1919224;MGI:1919224	532	59.9	90955.95	32030.25	53975.38	17.54	16.88	17.21	40.27	47.06	43.54	9.72	9.97	9.85	1.64	1.49	1.56	218.41	69.13	122.88
IPI00938437.1;IPI00331490.5	"Aldo-keto reductase family 7, member A5 (Aflatoxin aldehyde reductase);Aflatoxin B1 aldehyde reductase member 2"	Akr7a5;RP23-247I1.5-001;Akr7a2;Afar	"aldo-keto reductase family 7, member A5;Aflatoxin B1 aldehyde reductase member 2"	A2AMV3;Q8CG76	NP_079613	NM_025337	ENSMUST00000073787	MGI:107796;MGI:107796	367	40.61	90781.94	113800.14	101641.52	7.63	8.63	8.11	134.33	153.4	143.55	11.91	11.94	11.92	0.61	0.67	0.64	359.36	347.38	353.32
IPI00922962.1;IPI00121136.6;IPI00911143.1;IPI00230677.1;IPI00919239.1;IPI00230675.2;IPI00845669.2;IPI00808206.1;IPI00918219.1;IPI00919149.1	Apoptotic chromatin condensation inducer 1;Apoptotic chromatin condensation inducer in the nucleus	Acin1;RP23-94B13.1-001;Acinus;RP23-94B13.1-002;RP23-94B13.1-010	apoptotic chromatin condensation inducer 1 isoform 2;Isoform 1 of Apoptotic chromatin condensation inducer in the nucleus;apoptotic chromatin condensation inducer 1 isoform 4;Isoform 4 of Apoptotic chromatin condensation inducer in the nucleus;apoptotic ch	B8JJ87;Q9JIX8-1;Q9JIX8;B8JJ88;Q80TU6;Q9JIX8-4;B8JJ86;Q9JIX8-2;B8JJ91;Q7TSL7;Q9JIX8-3;B8JJ93;B8JJ95	NP_075679;NP_001078942;NP_062513;NP_001078941	NM_023190	ENSMUST00000022793;ENSMUST00000022794;ENSMUST00000111485	MGI:1891824;MGI:1891824;MGI:1891824;MGI:1891824;MGI:1891824	1338	150.72	90768.56	54047.19	70041.31	24.5	28.06	26.22	84.25	95.95	89.91	9.71	23.22	15.01	2.29	1.4	1.79	123	56.08	83.05
IPI00420649.4	Selenoprotein T	Selt	Selenoprotein T	P62342	NP_001035486	NM_001040396	ENSMUST00000082438;ENSMUST00000107924	MGI:1916477	196	22.34	90753.82	70013.44	79711.9	41.48	35.86	38.57	28.55	27.51	28.02	10.1	21.04	14.58	3.76	1.9	2.67	107.49	91.74	99.3
IPI00120283.1	Translocator protein;Peripheral-type benzodiazepine receptor;PKBS;Mitochondrial benzodiazepine receptor	Tspo;Bzrp;Mbr	Translocator protein	P50637;Q541E3;Q99M32	NP_033905	NM_009775	ENSMUST00000047419	MGI:88222	169	18.84	90677.96	453044.97	202684.96	117.65	157.04	135.92	2269.2	NA	2269.2	21.11	15	17.79	6.58	NA	6.58	NA	NA	NA
IPI00137560.1;IPI00944099.2;IPI00944011.1	Receptor-interacting serine/threonine-protein kinase 3;RIP-like protein kinase 3;Receptor-interacting protein 3;Putative uncharacterized protein	Ripk3;Rip3	Receptor-interacting serine/threonine-protein kinase 3;receptor-interacting serine-threonine kinase 3 isoform 1;receptor-interacting serine-threonine kinase 3 isoform 2	Q9QZL0;Q3U3Z9;Q8K2Y2	NP_064339;NP_001157579;NP_001157580	NM_019955	ENSMUST00000022830	MGI:2154952;MGI:2154952	486	53.34	90579.08	126494.48	107040.9	16.92	17.31	17.11	39.57	50.71	44.8	12.96	16.63	14.68	1.29	1.06	1.17	227.41	259.34	242.85
IPI00133223.4;IPI00776357.1;IPI00762050.2	Transmembrane protein 167A	Tmem167a;Tmem167	Isoform 1 of Transmembrane protein 167A;Isoform 2 of Transmembrane protein 167A;8 kDa protein	Q9CR64-1;Q9CR64;Q9CR64-2	NP_079611	NM_025335	ENSMUST00000012566	MGI:1913324;MGI:1913324	72	8.07	90515.36	116619.39	102741.65	4.92	5.19	5.05	41	43.42	42.19	15.55	28.07	20.89	0.33	0.23	0.28	771.47	849.55	809.57
IPI00109561.1	G1/S-specific cyclin-D1	Ccnd1;Cyl-1	G1/S-specific cyclin-D1	P25322;B2M0W7;Q3TC96;Q790L7;Q9QXH2	NP_031657	NM_007631	ENSMUST00000093962	MGI:88313	295	33.43	90343.85	88924.75	89631.49	NA	NA	NA	1.22	1.4	1.31	10.47	18.72	14	NA	NA	NA	NA	NA	NA
IPI00381520.5	Putative uncharacterized protein	4921506J03Rik	hypothetical protein LOC382423	Q3UD01	NP_001028646	NM_001033474	ENSMUST00000099276	MGI:1914971	97	10.73	90102.32	110215.64	99652.82	28.92	27.17	28.03	30.3	36.32	33.17	5.17	6.14	5.63	4.48	3.56	3.99	147.88	164.61	156.02
IPI00222538.2;IPI00894878.1	"28S ribosomal protein S35, mitochondrial;MRP-S35"	Mrps35	"28S ribosomal protein S35, mitochondrial;mitochondrial ribosomal protein S35 precursor"	Q8BJZ4	NP_663548	NM_145573	ENSMUST00000036111	MGI:2385255	320	35.98	89744.14	38590.82	58849.81	NA	NA	NA	77.97	98.61	87.68	8.53	9.9	9.19	NA	NA	NA	NA	NA	NA
IPI00229571.1;IPI00556695.1;IPI00473550.1	SAFB-like transcription modulator;SAF-like transcription modulator;Modulator of estrogen-induced transcription	Sltm;Met	Isoform 1 of SAFB-like transcription modulator;Isoform 2 of SAFB-like transcription modulator	Q8CH25-1;Q8CH25;B9EI57;Q8CH25-2	NP_079966;NP_080613	NM_025690	ENSMUST00000049263	MGI:1913910;MGI:1913910	1031	116.92	89649.69	25624.19	47929.12	21.28	18.07	19.61	89.31	221.54	140.66	5.91	11.59	8.27	2.94	1.43	2.05	137.34	35.4	69.72
IPI00109304.1	Carbonic anhydrase 13;Carbonic anhydrase XIII;Carbonate dehydratase XIII	Ca13;Car13	Carbonic anhydrase 13	Q9D6N1	NP_078771	NM_024495	ENSMUST00000029071	MGI:1931322	262	29.52	89631.83	97737	93596.72	5.48	6.36	5.9	69.11	119.14	90.74	11.13	14.83	12.85	0.46	0.42	0.44	572.2	425.49	493.42
IPI00137697.1;IPI00649740.1;IPI00647995.1;IPI00649193.1;IPI00649889.1	F-box only protein 6;F-box only protein 6b	Fbxo6;Fbxo6b;RP23-139J21.9-006;RP23-139J21.9-002	F-box only protein 6;31 kDa protein;F-box only protein 6b;F-box only protein 6b	Q9QZN4;A2A7H1;A2A7G9	NP_001157176;NP_001157177;NP_001157178;NP_001157179;NP_056612	NM_001163704	ENSMUST00000030858;ENSMUST00000056965;ENSMUST00000105706	MGI:1354743;MGI:1354743;MGI:1354743	295	34.49	89532.69	69956.72	79141.73	9.63	10.77	10.19	61.11	68.2	64.56	12.84	11.63	12.22	0.74	0.85	0.79	337.86	207.43	264.73
IPI00119261.3	Deoxycytidine kinase	Dck	Deoxycytidine kinase	P43346;Q545E8;Q80US6	NP_031858	NM_007832	ENSMUST00000031311	MGI:102726	260	30.37	89488.85	28513.09	50513.4	10.84	7.54	9.04	8.44	6.95	7.66	6.5	4.98	5.69	1.38	1.18	1.28	876.06	453.64	630.41
IPI00112339.9;IPI00759925.1;IPI00874516.1	LIM domain and actin-binding protein 1;Epithelial protein lost in neoplasm;Putative uncharacterized protein	Lima1;D15Ertd366e;Eplin	LIM domain and actin binding 1 isoform a;Isoform Beta of LIM domain and actin-binding protein 1;LIM domain and actin binding 1 isoform b	Q9ERG0-2;Q9ERG0;Q8BT15;Q8C3R7;Q8C7S2;Q8K2H0;Q9ERG0-1;Q8CD09	NP_001107017;NP_075550	NM_001113545	ENSMUST00000073691;ENSMUST00000109024	MGI:1920992;MGI:1920992;MGI:1920992	753	84.06	89238.41	224920.24	141674.01	NA	NA	NA	31.16	27.07	29.05	5.6	7.23	6.37	NA	NA	NA	NA	NA	NA
IPI00137194.1	Monocarboxylate transporter 1;Solute carrier family 16 member 1	Slc16a1;Mct1	Monocarboxylate transporter 1	P53986;Q3TIU1;Q3TRK9;Q3UWP4;Q544N9;Q8BPS5;Q8C2E6;Q8C571	NP_033222	NM_009196	ENSMUST00000046212	MGI:106013	493	53.27	89221	72758.66	80570.47	25.46	17.63	21.18	41.96	56.48	48.68	9.56	11.12	10.31	2.41	1.44	1.86	145.14	140.48	142.79
IPI00283736.3;IPI00122635.2	"Cyclin-dependent kinase inhibitor 2A, isoforms 1/2;Cyclin-dependent kinase 4 inhibitor A;p16-INK4a"	Cdkn2a;P16ink4a	"Isoform 1 of Cyclin-dependent kinase inhibitor 2A, isoforms 1/2;Isoform 2 of Cyclin-dependent kinase inhibitor 2A, isoforms 1/2"	P51480-1;P51480;Q78E71;Q9QWH4;Q9QWH5;Q9QWT5;P51480-2	NP_001035744	NM_001040654	ENSMUST00000030237;ENSMUST00000060501	MGI:104738;MGI:104738	168	17.94	89103.3	18520.28	40622.87	101.74	81.22	90.9	13.07	16.7	14.78	13.57	8.94	11.02	7.49	7.83	7.66	68.09	14.35	31.25
IPI00165799.1	UBX domain-containing protein 4;UBX domain-containing protein 2;Erasin	Ubxn4;Ubxd2;Ubxdc1	UBX domain-containing protein 4	Q8VCH8;Q05C23;Q3UFS2;Q3ULE5;Q6ZQF6;Q8C0Z0;Q9CRQ1;Q9CT42	NP_080666	NM_026390	ENSMUST00000027592	MGI:1915062	506	56.47	88947.93	92515.61	90714.23	19.66	26.88	22.99	21.64	21.7	21.67	11.35	20.73	15.34	1.64	1.44	1.53	257.28	184.82	218.06
IPI00411102.3	Ribose-phosphate pyrophosphokinase 2;Phosphoribosyl pyrophosphate synthetase II	Prps2	Ribose-phosphate pyrophosphokinase 2	Q9CS42;A2AHI4	NP_080938	NM_026662	ENSMUST00000026839	MGI:97776	318	34.79	88698.35	134172.69	109091.23	NA	NA	NA	121.37	512.47	249.4	7.9	18.34	12.04	NA	NA	NA	NA	NA	NA
IPI00881456.1;IPI00109419.1;IPI00857995.1	Putative uncharacterized protein;Chromosome-associated kinesin KIF4	Kif4;Kif4a;Kns4	kinesin family member 4;Chromosome-associated kinesin KIF4	Q3UWH4;Q3UXW0;Q80YP3;P33174	NP_032472	NM_008446	ENSMUST00000048962	MGI:108389;MGI:108389	1231	139.52	88624.44	30375.17	51884.31	16.83	10.99	13.6	13.51	12.66	13.08	8.49	14.2	10.98	1.74	0.75	1.14	399.3	210.75	290.09
IPI00128268.2;IPI00474056.1	DnaJ homolog subfamily C member 9;Putative uncharacterized protein	Dnajc9	DnaJ homolog subfamily C member 9;Putative uncharacterized protein	Q91WN1;Q8BRQ6	NP_598842	NM_134081	ENSMUST00000022345	MGI:1915326;MGI:1915326	259	30.06	88398.76	60685.8	73243.08	15.77	15.23	15.5	27.02	20.75	23.68	8.06	16.19	11.42	1.7	0.95	1.27	282.51	219.59	249.07
IPI00849604.1;IPI00752092.3;IPI00316951.2;IPI00881847.1;IPI00880537.1;IPI00785543.1;IPI00882278.1	DCN1-like protein 1;Defective in cullin neddylation protein 1-like protein 1;DCUN1 domain-containing protein 1;Testis-specific protein 3;Putative uncharacterized protein	Dcun1d1;Dcun1l1;Rp42;Tes3	similar to RP42;DCN1-like protein 1;testis derived transcript 3;26 kDa protein;25 kDa protein;28 kDa protein	Q9QZ73;Q3TMV8;Q3UT23	XP_001476929;NP_296372		ENSMUST00000108182;ENSMUST00000029258;ENSMUST00000121632	MGI:2150386;MGI:2150386	287	32.99	88286.75	128499.17	106511.85	NA	NA	NA	109.27	143.62	125.27	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00109808.1;IPI00880772.1	Gem-associated protein 7	Gemin7	Gem-associated protein 7;9 kDa protein	Q9CWY4	NP_081465	NM_027189	ENSMUST00000051364;ENSMUST00000117222;ENSMUST00000119912;ENSMUST00000122055;ENSMUST00000122127	MGI:1916981	129	14.25	88211.09	40174.26	59529.95	29.28	27.56	28.4	25.36	21.98	23.61	6.36	6.54	6.45	3.81	3.42	3.61	156.56	77.11	109.87
IPI00719915.1;IPI00406706.1	Ribonucleoprotein PTB-binding 1;Protein raver-1	Raver1;Kiaa1978	Isoform 1 of Ribonucleoprotein PTB-binding 1;Isoform 2 of Ribonucleoprotein PTB-binding 1	Q9CW46-1;Q9CW46;Q9CW46-2	NP_082187	NM_027911	ENSMUST00000010349;ENSMUST00000115486;ENSMUST00000115487	MGI:1919016;MGI:1919016	748	79.38	88114.63	79798.84	83853.71	25.8	32.69	29.04	25.54	25.36	25.45	11.02	10.33	10.67	2.2	2.82	2.49	177.53	119.47	145.64
IPI00113203.4	Cytochrome c oxidase copper chaperone	Cox17;Cox17a	Cytochrome c oxidase copper chaperone	P56394;Q3UJM3;Q54AC6	NP_001017429	NM_001017429	ENSMUST00000050273;ENSMUST00000119704;ENSMUST00000120495	MGI:1333806	63	6.78	88075.05	37145.93	57198.16	35.33	32.43	33.85	18.73	33.8	25.16	11.17	8.81	9.92	2.98	3.16	3.07	153.99	48.25	86.2
IPI00126191.5;IPI00113886.1	Lamin-B2	Lmnb2	Isoform B2 of Lamin-B2	P21619-1;P21619	NP_034852	NM_010722	ENSMUST00000057623;ENSMUST00000105332	MGI:96796	596	67.32	87966.54	38364.12	58092.68	14.99	10.64	12.63	52.31	69.4	60.25	7.99	10.45	9.14	1.62	0.91	1.22	223.78	114.43	160.02
IPI00648186.4;IPI00754096.1;IPI00400154.5;IPI00403139.2	"Clathrin interactor 1;MCG22297, isoform CRA_b;Putative uncharacterized protein;Epsin-4;Epsin-related protein;Enthoprotin"	Clint1;RP23-298M7.4-001;mCG_22297;AI642036;Enth;Epn4;Epnr;Kiaa0171	"MCG22297, isoform CRA_b;clathrin interactor 1;Isoform 1 of Clathrin interactor 1;Isoform 2 of Clathrin interactor 1"	Q5SUH6;Q3TJF5;Q3UGL3;Q3UPG6;Q5SUH7;Q99KN9-1;Q99KN9;Q99KN9-2	NP_001038985	NM_001045520	ENSMUST00000109261;ENSMUST00000065062;ENSMUST00000109260;ENSMUST00000109259	MGI:2144243;MGI:2144243;MGI:2144243;MGI:2144243	641	69.76	87950.34	52236.94	67780.95	25.71	29.57	27.57	31.73	34.19	32.94	9.66	12.2	10.86	2.41	2.25	2.33	159.74	74.17	108.85
IPI00758413.2	"Putative uncharacterized protein;N-acetyltransferase ARD1 homolog;N-acetyltransferase ARD1 homolog (S. cerevisiae), isoform CRA_b"	Ard1a;Ard1;RP23-252M19.3-002;mCG_8092	"N-acetyltransferase ARD1 homolog (S. cerevisiae), isoform CRA_b"	Q3V4D5;Q8R2U5			ENSMUST00000033763;ENSMUST00000114389	MGI:1915255	225	24.82	87907.94	32834.39	53725.26	NA	NA	NA	84.95	98.48	91.46	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00858026.1;IPI00108427.5;IPI00110120.2;IPI00129009.1	"Lims E protein;LIM and senescent cell antigen-like-containing domain protein 1;Particularly interesting new Cys-His protein 1;Putative uncharacterized protein;LIM and senescent cell antigen-like domains 1, isoform CRA_c"	Lims1;Pinch1;mCG_19016	"Lims E protein;LIM and senescent cell antigen-like domains 1 isoform D;LIM and senescent cell antigen-like domains 1, isoform CRA_c"	Q4ZJB3;Q99JW4;A8CVP1;A8CVP4;Q9D7B2	NP_080424	NM_026148	ENSMUST00000020077;ENSMUST00000105468;ENSMUST00000020078	MGI:1195263;MGI:1195263;MGI:1195263	387	44.34	87850.04	105804.99	96410.44	11.86	10.92	11.38	89.35	62.05	74.46	5.99	8.61	7.18	1.62	1.08	1.33	241.56	318.56	277.4
IPI00461532.4;IPI00648290.2;IPI00648468.1	Nucleoporin NUP85;Nuclear pore complex protein Nup85;Pericentrin-1;FROUNT	Nup85;Pcnt1	Nuclear pore complex protein Nup85	Q8R480	NP_001002929	NM_001002929	ENSMUST00000021085	MGI:3046173	656	74.78	87299.05	66021.91	75918.7	54.06	42.85	48.13	87.82	107.71	97.26	8.62	8.74	8.68	5.53	4.2	4.82	53.03	43.44	47.99
IPI00263822.7;IPI00742329.1;IPI00742438.1;IPI00742400.1	cAMP-dependent protein kinase catalytic subunit beta	Prkacb;Pkacb	Isoform 1 of cAMP-dependent protein kinase catalytic subunit beta;Isoform 4 of cAMP-dependent protein kinase catalytic subunit beta;Isoform 3 of cAMP-dependent protein kinase catalytic subunit beta;Isoform 2 of cAMP-dependent protein kinase catalytic subun	P68181-1;P68181;P68181-4;P68181-3;P68181-2;Q8C4J3;Q8CBP8	NP_035230;NP_001157672;NP_001157671;NP_001157670	NM_011100	ENSMUST00000005164;ENSMUST00000102515;ENSMUST00000106140	MGI:97594;MGI:97594;MGI:97594;MGI:97594	351	40.71	87272.45	228611.06	141249.59	16.43	16.96	16.69	74.14	118.45	93.71	10.81	11.49	11.15	1.42	1.35	1.38	182.39	372.86	260.78
IPI00132216.1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3;NADH-ubiquinone oxidoreductase B9 subunit;Complex I-B9	Ndufa3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	Q9CQ91	NP_079624	NM_025348	ENSMUST00000039415;ENSMUST00000076657	MGI:1913341	84	9.33	87261.17	68405.66	77260.32	78.35	70.91	74.54	29.82	39.23	34.2	11.32	12.72	12	6.54	5.24	5.85	53.62	38.02	45.15
IPI00125513.1	Mitochondrial import inner membrane translocase subunit Tim9	Timm9;Tim9;Tim9a;Timm9a	Mitochondrial import inner membrane translocase subunit Tim9	Q9WV98	NP_001020024;NP_001020025;NP_038924	NM_001024853	ENSMUST00000021486	MGI:1353436	89	10.34	87170.15	109300.53	97610.16	18.77	16.21	17.44	116.68	175.03	142.91	5.05	5.83	5.43	2.96	2.22	2.56	142.8	172.85	157.11
IPI00115866.3;IPI00880581.3;IPI00882305.1;IPI00850155.1	Hydroxyacylglutathione hydrolase;Glyoxalase II	Hagh;Glo2	"Isoform 1 of Hydroxyacylglutathione hydrolase, mitochondrial;Isoform 2 of Hydroxyacylglutathione hydrolase, mitochondrial"	Q99KB8-1;Q99KB8;Q99KB8-2	NP_077246;NP_001153098	NM_024284	ENSMUST00000024974;ENSMUST00000118788	MGI:95745;MGI:95745	309	34.08	87133.18	35069.65	55278.66	14.97	17.67	16.27	135.21	91.2	111.05	10.26	18.25	13.68	1.34	1.02	1.17	175.37	58.48	101.27
IPI00224689.3;IPI00473987.6	Cullin 4B;Putative uncharacterized protein	Cul4b;RP23-193O17.3-001;mCG_10889	cullin 4B;MKIAA0695 protein	A2A432;Q3TU30;Q8BSL3;Q91YZ7;Q99KS9;Q9CZM5;Q3TP81;Q8CHD6	NP_001103612;NP_082564	NM_001110142	ENSMUST00000050083;ENSMUST00000115118;ENSMUST00000016681	MGI:1919834;MGI:1919834	970	110.7	87116.27	99297.56	93007.71	13.77	14.09	13.93	23.43	21.6	22.49	10.62	10.82	10.72	1.2	1.17	1.19	344.21	378.32	360.86
IPI00624896.4;IPI00647977.1;IPI00662793.4;IPI00474904.3;IPI00649881.1;IPI00649615.1;IPI00648155.1;IPI00649469.1	Aspartyl/asparaginyl beta-hydroxylase;Aspartate beta-hydroxylase;Peptide-aspartate beta-dioxygenase;Aspartate-beta-hydroxylase;Putative uncharacterized protein	Asph;RP23-152A20.3-002;RP23-152A20.3-003	Aspartyl/asparaginyl beta-hydroxylase;Aspartate-beta-hydroxylase;78 kDa protein;Aspartly beta-hydroxylase	Q8BSY0;A2AL84;Q8BQK0;A2AL85;Q8CBM2;Q9EQ66;Q9EQ67	NP_075553	NM_023066	ENSMUST00000078139;ENSMUST00000108340;ENSMUST00000108339	MGI:1914186;MGI:1914186	741	83.04	87106.91	155894.4	116531.02	6.05	7.87	6.9	74.54	91.34	82.52	17	40.18	26.13	0.39	0.3	0.34	494.43	584.35	537.51
IPI00113362.2	Crk-like protein	Crkl;Crkol	Crk-like protein	P47941;A2RS58;Q8R5B8	NP_031790	NM_007764	ENSMUST00000006293	MGI:104686	303	33.83	87080.58	191920.01	129276.86	11.62	10.89	11.25	66.77	76.88	71.64	3.92	2.85	3.34	2.29	2.84	2.55	262.38	534.83	374.6
IPI00129145.1;IPI00350396.2;IPI00459058.1;IPI00895233.1;IPI00895301.1	"SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1;Integrase interactor 1 protein;Brain cDNA, clone MNCb-1957, similar to Mus musculus SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 (Smarcb1), mRNA"	Smarcb1;Ini1;Snf5l1	"Isoform A of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1;Isoform B of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1;Brain cDNA, clone MNCb-1957, similar to Mu"	Q9Z0H3-1;Q9Z0H3;Q6ZWP4;Q9ESU0;Q9ESU1;Q9Z0H3-2;Q3UDA4;Q9JJD1	NP_035548;NP_001155325	NM_011418	ENSMUST00000000925	MGI:1328366;MGI:1328366;MGI:1328366	385	44.14	86985.93	94389.31	90612.04	50.69	47.98	49.32	21.93	23.12	22.52	11.03	11.26	11.14	4.31	3.87	4.09	96.83	101.48	99.13
IPI00944062.1;IPI00874522.1;IPI00135971.1	Tjp1 protein;Tight junction protein ZO-1;Zonula occludens protein 1;Zona occludens protein 1;Tight junction protein 1	Tjp1;Zo1	tight junction protein 1 isoform 2;195 kDa protein;Tight junction protein ZO-1	B9EHJ3;Q91YW2;P39447	NP_001157046;NP_033412	NM_001163574	ENSMUST00000032729;ENSMUST00000102592	MGI:98759;MGI:98759	1685	188.85	86889.47	98089.86	92319.97	19.12	24.59	21.68	51.27	57.69	54.39	8.63	12.04	10.2	1.95	1.89	1.92	174.53	134.81	153.39
IPI00119842.1;IPI00880948.1	"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial;2-methyl branched chain acyl-CoA dehydrogenase;2-methylbutyryl-coenzyme A dehydrogenase"	Acadsb	"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial;52 kDa protein"	Q9DBL1;Q3V2R9;Q7TMY2	NP_080102	NM_025826	ENSMUST00000015829;ENSMUST00000117518	MGI:1914135	432	47.87	86743.8	121836.77	102803.62	4.82	7.56	6.03	107.52	147.45	125.91	13.4	30.18	20.11	0.36	0.33	0.34	567.17	429.07	493.31
